PAYS;REGION;SUPERFICIE;POP.84;POP.88;POP.86;DENSITE.84;DENSITE.88;DENSITE.86
SOMALIE;AFC;637700 ;5600000 ;5882000 ;5800000 ;8.781558726673985;9.223772933981495;9.095185824055198
SOUDAN;AFN;2506000 ;21500000 ;23776000 ;22000000 ;8.579409417398244;9.487629688747008;8.778930566640064
SRI LANKA;ASM;65600 ;15400000 ;16565000 ;16000000 ;234.7560975609756;252.515243902439;243.90243902439025
ST-KITTS-ET-NEVIS;AMC;276 ;40000 ;43000 ;45000 ;144.92753623188406;155.79710144927537;163.04347826086956
ST-PIERRE-ET-MIQUELON;AMN;242 ;6000 ;7500 ;6000 ;24.793388429752067;30.99173553719008;24.793388429752067
SUEDE;EUO;449900 ;8350000 ;8357000 ;8350000 ;18.559679928873084;18.57523894198711;18.559679928873084
SUISSE;EUO;41200 ;6500000 ;6545000 ;6500000 ;157.76699029126215;158.85922330097088;157.76699029126215
SURINAME;AMS;163300 ;350000 ;429000 ;350000 ;2.1432945499081444;2.6270667483159826;2.1432945499081444
SWAZILAND;AFS;17400 ;650000 ;737000 ;670000 ;37.35632183908046;42.35632183908046;38.50574712643678
SYRIE;ASO;185200 ;10200000 ;11667000 ;10500000 ;55.0755939524838;62.99676025917927;56.69546436285097
TANZANIE;AFC;945100 ;21500000 ;24739000 ;22150000 ;22.748915458681623;26.176066024759283;23.436673367897576
TCHAD;AFN;1284000 ;5000000 ;5399000 ;5100000 ;3.8940809968847354;4.204828660436137;3.97196261682243
TCHECOSLOVAQUIE;EUE;127900 ;15550000 ;15610000 ;16000000 ;121.5793588741204;122.04847537138389;125.09773260359655
THAILANDE;ASM;514000 ;51900000 ;54469000 ;52900000 ;100.9727626459144;105.97081712062257;102.91828793774319
TOGO;AFO;56000 ;2900000 ;3362000 ;3000000 ;51.785714285714285;60.035714285714285;53.57142857142857
TOKELAU;OCE;10 ;1800 ;1800 ;1800 ;180.0;180.0;180.0
TONGA;OCE;699 ;110000 ;101000 ;110000 ;157.36766809728184;144.49213161659515;157.36766809728184
TRINITE-ET-TOBAGO;AMC;5100 ;1200000 ;1241000 ;1200000 ;235.2941176470588;243.33333333333334;235.2941176470588
TUNISIE;AFN;163600 ;7200000 ;7796000 ;7400000 ;44.00977995110024;47.65281173594132;45.23227383863081
TURKS-CAICOS;AMC;430 ;8000 ;13000 ;8000 ;18.6046511627907;30.232558139534884;18.6046511627907
TURQUIE;ASO;780600 ;49200000 ;53772000 ;50800000 ;63.028439661798615;68.88547271329746;65.07814501665385
TUVALU;OCE;26 ;8800 ;9000 ;8800 ;338.46153846153845;346.15384615384613;338.46153846153845
U.R.S.S.;EUE;22402000 ;276500000 ;285659000 ;279500000 ;12.34264797785912;12.751495402196232;12.476564592447103
URUGUAY;AMS;176200 ;3000000 ;3004000 ;3000000 ;17.0261066969353;17.048808172531214;17.0261066969353
VANUATU;OCE;14800 ;130000 ;151000 ;134000 ;8.783783783783784;10.202702702702704;9.054054054054054
VATICAN;EUO;1 ;700 ;700 ;700 ;700.0;700.0;700.0
VENEZUELA;AMS;912100 ;17300000 ;18759000 ;17800000 ;18.967218506742682;20.56682381317838;19.515404012717905
VIETNAM;ASM;329600 ;60000000 ;66682000 ;61300000 ;182.03883495145632;202.3118932038835;185.98300970873785
WALLIS-ET-FUTUNA;OCE;220 ;12400 ;15000 ;12400 ;56.36363636363637;68.18181818181819;56.36363636363637
YEMEN;ASO;527900 ;8750000 ;11081000 ;8900000 ;16.575108922144345;20.9907179390036;16.859253646523964
YOUGOSLAVIE;EUE;255800 ;23100000 ;23552000 ;23250000 ;90.30492572322126;92.07193119624706;90.89132134480063
ZAIRE;AFC;2345000 ;33000000 ;33615000 ;34000000 ;14.072494669509595;14.334754797441365;14.498933901918976
ZAMBIE;AFS;752600 ;6600000 ;7486000 ;6800000 ;8.769598724422003;9.946850916821685;9.03534414031358
ZIMBABWE;AFS;390600 ;8200000 ;9257000 ;8400000 ;20.993343573988735;23.699436763952892;21.50537634408602
