PAYS;REGION;SUPERFICIE;POP.84;POP.88;POP.86
NORVEGE;EUO;324200 ;4150000 ;4205000 ;4160000 
NOUVELLE-CALEDONIE;OCE;19060 ;150000 ;155000 ;150000 
NOUVELLE-ZELANDE;OCE;268700 ;3230000 ;3339000 ;3300000 
OMAN;ASO;212500 ;1200000 ;1402000 ;2000000 
OUGANDA;AFC;236000 ;15500000 ;16195000 ;16000000 
PACIFIQUE;OCE;1780 ;150000 ;180000 ;150000 
PAKISTAN;ASO;883900 ;95000000 ;105877000 ;98000000 
PANAMA;AMC;77100 ;2200000 ;2315000 ;2700000 
PAPOUASIE;OCE;461700 ;3300000 ;3804000 ;3300000 
PARAGUAY;AMS;406800 ;3650000 ;4042000 ;3750000 
PAYS-BAS;EUO;40840 ;14500000 ;14760000 ;14550000 
PEROU;AMS;1285000 ;19500000 ;20681000 ;20000000 
PHILIPPINES;ASM;300000 ;54500000 ;59686000 ;55800000 
PITCAIRN;OCE;49 ;85 ;60 ;60 
POLOGNE;EUE;312700 ;37200000 ;37873000 ;37500000 
POLYNESIE FRANCAISE;OCE;4000 ;160000 ;184000 ;160000 
PORTO RICO;AMC;8900 ;3450000 ;3376000 ;3500000 
PORTUGAL;EUO;92100 ;10200000 ;10162000 ;10250000 
QATAR;ASO;11400 ;300000 ;350000 ;240000 
REUNION;AFS;2500 ;550000 ;575000 ;560000 
ROUMANIE;EUE;237500 ;22800000 ;23052000 ;22900000 
ROYAUME-UNI;EUO;244040 ;55700000 ;57019000 ;55700000 
RWANDA;AFC;26300 ;6100000 ;6657000 ;6300000 
SAINT-MARIN;EUO;61 ;25000 ;25000 ;25000 
SAINT-VINCENT;AMC;388 ;100000 ;122000 ;100000 
SAINTE-HELENE;AFS;121 ;5300 ;6800 ;5300 
SAINTE-LUCIE;AMC;616 ;130000 ;145000 ;132000 
SALOMON;OCE;28400 ;280000 ;304000 ;280000 
SALVADOR;AMC;21041 ;5400000 ;5056000 ;5600000 
SAMOA;OCE;950 ;33000 ;38000 ;33000 
SAMOA OCCIDENTALES;OCE;2800 ;160000 ;168000 ;165000 
SAO TOME-ET-PRINCIPE;AFC;970 ;100000 ;119000 ;102000 
SENEGAL;AFO;196200 ;6500000 ;7154000 ;6660000 
SEYCHELLES;AFC;376 ;65000 ;68000 ;65000 
SIERRA LEONE;AFO;71700 ;3600000 ;3938000 ;3660000 
SINGAPOUR;ASM;620 ;2550000 ;2639000 ;2590000 
SOMALIE;AFC;637700 ;5600000 ;5882000 ;5800000 
SOUDAN;AFN;2506000 ;21500000 ;23776000 ;22000000 
SRI LANKA;ASM;65600 ;15400000 ;16565000 ;16000000 
ST-KITTS-ET-NEVIS;AMC;276 ;40000 ;43000 ;45000 
ST-PIERRE-ET-MIQUELON;AMN;242 ;6000 ;7500 ;6000 
SUEDE;EUO;449900 ;8350000 ;8357000 ;8350000 
SUISSE;EUO;41200 ;6500000 ;6545000 ;6500000 
SURINAME;AMS;163300 ;350000 ;429000 ;350000 
SWAZILAND;AFS;17400 ;650000 ;737000 ;670000 
SYRIE;ASO;185200 ;10200000 ;11667000 ;10500000 
